Date : 2023-12-14 01:58:19
Directory : /Users/josh/Desktop/Coding/C++/HomeController_v3/HomeController_v3-dev
Total : 138 files,  6532 codes, 541 comments, 2222 blanks, all 9295 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |         93 |      4,238 |        356 |      1,585 |      6,179 |
| TypeScript         |         19 |      1,359 |        129 |        401 |      1,889 |
| TypeScript JSX     |          9 |        531 |         27 |        107 |        665 |
| Makefile           |          5 |        219 |         18 |        106 |        343 |
| JSON               |          4 |         65 |          0 |          3 |         68 |
| Python             |          2 |         39 |          3 |          7 |         49 |
| JSON with Comments |          2 |         38 |          6 |          1 |         45 |
| Docker             |          1 |         32 |          1 |          8 |         41 |
| JavaScript         |          2 |          8 |          1 |          3 |         12 |
| CSS                |          1 |          3 |          0 |          1 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                       |        138 |      6,532 |        541 |      2,222 |      9,295 |
| device_node                                                                                                                                             |         20 |      1,058 |        106 |        394 |      1,558 |
| device_node (Files)                                                                                                                                     |          1 |         37 |          4 |         20 |         61 |
| device_node/conf                                                                                                                                        |          1 |          9 |          0 |          0 |          9 |
| device_node/src                                                                                                                                         |         16 |        973 |         99 |        367 |      1,439 |
| device_node/src (Files)                                                                                                                                 |          8 |        410 |         16 |        166 |        592 |
| device_node/src/protocol_handler                                                                                                                        |          8 |        563 |         83 |        201 |        847 |
| device_node/tools                                                                                                                                       |          2 |         39 |          3 |          7 |         49 |
| devices                                                                                                                                                 |         12 |        584 |         23 |        225 |        832 |
| devices/rgb_lights                                                                                                                                      |         10 |        528 |         22 |        201 |        751 |
| devices/rgb_lights (Files)                                                                                                                              |          1 |         34 |          2 |         16 |         52 |
| devices/rgb_lights/src                                                                                                                                  |          9 |        494 |         20 |        185 |        699 |
| devices/rgb_lights/src (Files)                                                                                                                          |          5 |        361 |         20 |        141 |        522 |
| devices/rgb_lights/src/programs                                                                                                                         |          4 |        133 |          0 |         44 |        177 |
| devices/test_device                                                                                                                                     |          2 |         56 |          1 |         24 |         81 |
| devices/test_device (Files)                                                                                                                             |          1 |         24 |          1 |         12 |         37 |
| devices/test_device/src                                                                                                                                 |          1 |         32 |          0 |         12 |         44 |
| hc_tools                                                                                                                                                |          2 |         58 |          1 |         17 |         76 |
| hc_tools/docker_tools                                                                                                                                   |          2 |         58 |          1 |         17 |         76 |
| homecontroller_api                                                                                                                                      |         11 |        561 |         28 |        154 |        743 |
| homecontroller_api (Files)                                                                                                                              |          2 |         35 |          4 |          1 |         40 |
| homecontroller_api/src                                                                                                                                  |          9 |        526 |         24 |        153 |        703 |
| homecontroller_api/src (Files)                                                                                                                          |          6 |        453 |         24 |        130 |        607 |
| homecontroller_api/src/util                                                                                                                             |          3 |         73 |          0 |         23 |         96 |
| libhomecontroller                                                                                                                                       |         68 |      2,837 |        248 |      1,070 |      4,155 |
| libhomecontroller (Files)                                                                                                                               |          1 |         98 |         11 |         49 |        158 |
| libhomecontroller/include                                                                                                                               |         35 |      1,148 |         99 |        472 |      1,719 |
| libhomecontroller/include/homecontroller                                                                                                                |         35 |      1,148 |         99 |        472 |      1,719 |
| libhomecontroller/include/homecontroller (Files)                                                                                                        |          1 |         23 |          0 |          6 |         29 |
| libhomecontroller/include/homecontroller/api                                                                                                            |         15 |        434 |         12 |        191 |        637 |
| libhomecontroller/include/homecontroller/api (Files)                                                                                                    |          6 |        211 |         12 |         95 |        318 |
| libhomecontroller/include/homecontroller/api/device_states                                                                                              |          2 |         60 |          0 |         24 |         84 |
| libhomecontroller/include/homecontroller/api/request                                                                                                    |          3 |         65 |          0 |         30 |         95 |
| libhomecontroller/include/homecontroller/api/response                                                                                                   |          4 |         98 |          0 |         42 |        140 |
| libhomecontroller/include/homecontroller/http                                                                                                           |          5 |        150 |          2 |         65 |        217 |
| libhomecontroller/include/homecontroller/json                                                                                                           |          1 |         27 |          0 |         12 |         39 |
| libhomecontroller/include/homecontroller/net                                                                                                            |          8 |        275 |         19 |        135 |        429 |
| libhomecontroller/include/homecontroller/net/ssl                                                                                                        |          5 |        184 |         13 |         89 |        286 |
| libhomecontroller/include/homecontroller/net/ws                                                                                                         |          3 |         91 |          6 |         46 |        143 |
| libhomecontroller/include/homecontroller/thread                                                                                                         |          1 |         28 |          0 |         11 |         39 |
